text,url_from,url_to
,https://president.yale.edu/speeches-writings,https://president.yale.edu/speeches-writings/notes-woodbridge-hall
,https://president.yale.edu/speeches-writings,https://president.yale.edu/speeches-writings/speeches
,https://president.yale.edu/speeches-writings,https://president.yale.edu/speeches-writings/statements
